commentId,articleId,subject,daumName,recommendCount,disagreeCount,regDate,content,isBest
17325508,62571,승은이 망극하옵니다 11화. 단서,은월,632,1,2019-02-08 03:47:58,혹시 원래 세계에서 죽었거나 혼수 상태인 거 아냐?,True
17321894,62571,승은이 망극하옵니다 11화. 단서,한종훈,458,4,2019-02-07 00:07:41,설마 건너오면서 원래 살던 곳의 기억을 잃어버리는거 아니야..? ,True
17322706,62571,승은이 망극하옵니다 11화. 단서,이태영,391,0,2019-02-07 02:51:01,외상후 스트레스로 인한 일시적 기억상실 혹은 여기 세상에 동화되는중,True
17326803,62571,승은이 망극하옵니다 11화. 단서,여의도찌오니가만안도,326,0,2019-02-08 17:54:18,황제는 인내심도 좋으시네...나한테 승은이 같은 후궁있었으면 진작에....(먼산,True
17322637,62571,승은이 망극하옵니다 11화. 단서,유쭈쭈,200,3,2019-02-07 02:24:05,"귀여우면서 댕댕이같음서
매력있네요 얼른 다른 후궁들얘기도 나왔음좋겠어요",True
17321923,62571,승은이 망극하옵니다 11화. 단서,신유진,143,0,2019-02-07 00:09:07,헉스 지내면서 점점 기억 잃는건가보네 띠로리,True
17642071,62571,승은이 망극하옵니다 11화. 단서,소희,141,0,2019-03-27 22:31:43,어리고 귀여운놈이 애교부리니까 너무 보기 좋네요^^,True
17642843,62571,승은이 망극하옵니다 11화. 단서,최,127,1,2019-03-27 23:56:14,남자는 자고로 애교많고 섹시하고 청순하면서 안그런척 도도한게 매력이죠 큼큼,True
17642120,62571,승은이 망극하옵니다 11화. 단서,끄딩,125,0,2019-03-27 22:36:26,크 듬직하고 남주마음 잘 꿰뚫어보는 멋진 여주와 여기저기 촐랑거려서 불안하지만 활발명랑해서 여주에게 활력소가 되는 남주...좋네요,True
17619611,62571,승은이 망극하옵니다 11화. 단서,박소정,43,1,2019-03-22 08:18:06,폐하한테 저렇게 서슴없이 대하는건 승은이뿐일듯ㅋㅋㅋㅋㅋㅋㅋ폐하도 승은이와 함께일땐 맘편해지고 아픈과거에서 잠시라도 벗어날 수 있으니!!,True
17326241,62571,승은이 망극하옵니다 11화. 단서,황유정,21,0,2019-02-08 11:50:26,절벽에서 떨어지면서 기억을 잃어버린건지 여기로 넘어오면서 기억을 잃어가는건지 궁금해지네오ㅠㅠ,True
17325884,62571,승은이 망극하옵니다 11화. 단서,닉네임을 등록해 주세요,11,0,2019-02-08 08:53:55,진짜 완결나고 볼껄ㅠ,True
17324148,62571,승은이 망극하옵니다 11화. 단서,이미진,8,0,2019-02-07 20:18:33,저..더결제할수있는데ㅜㅠ어찌해야다음편을볼수있나요ㅜㅜ흐잉,False
17642210,62571,승은이 망극하옵니다 11화. 단서,문정이,7,0,2019-03-27 22:48:06,...그래.. 너 엄청 귀엽다..,False
17346190,62571,승은이 망극하옵니다 11화. 단서,별똥별,5,0,2019-02-14 12:02:22,설마 현실은 식물인간상태 ?!!!!,False
17642463,62571,승은이 망극하옵니다 11화. 단서,지현찡,4,0,2019-03-27 23:15:32,"헉 마지막에 &#x27;오&#x27;라고 오타나신것같은데,, 아닌가,,?",False
17641851,62571,승은이 망극하옵니다 11화. 단서,송영주,4,0,2019-03-27 22:09:12,"작가님 넘 좋아요!
가넷도 그렇구! 맬 재밌는 웹툰만 만드시네요",False
17642301,62571,승은이 망극하옵니다 11화. 단서,최진영,2,0,2019-03-27 22:58:29,헐,False
17642137,62571,승은이 망극하옵니다 11화. 단서,그냥,2,0,2019-03-27 22:38:47,흠...ㅜㅜㅜ,False
17406968,62571,승은이 망극하옵니다 11화. 단서,그랑블루,2,0,2019-02-28 00:07:19,더 보고싶은데. . . ,False
18351910,62571,승은이 망극하옵니다 11화. 단서,겨울늑대,1,0,2019-10-12 12:52:30,"남주 되게 민폐되기 쉬운 성격인데 그나마 황제 임티 봐서 밥값하는 듯. 저 촐랑이 데리고 사느라 고생 많은 여주..
근데 후궁들 화장이 황제보단 나았음 좋겠네요",False
17869678,62571,승은이 망극하옵니다 11화. 단서,룰루,1,0,2019-05-30 09:02:11,폐하 술 뺏어먹을 때 졸귀 아님? 미쳐보리겠네!!,False
17669097,62571,승은이 망극하옵니다 11화. 단서,강나라,1,0,2019-04-03 21:36:05,다들 답답하네 전에 얘 교통사고 나서 절벽에서 떨어졌자나,False
17647736,62571,승은이 망극하옵니다 11화. 단서,호율쭈닝,1,0,2019-03-29 12:52:40,1화에 절벽에서 떨어지고 있는 승은이 황제가 구해준거 같은데,False
17646709,62571,승은이 망극하옵니다 11화. 단서,김윤지,1,0,2019-03-29 01:14:24,뭘가 그냥 여기서 황후 달고 행복하게  살아,False
17643792,62571,승은이 망극하옵니다 11화. 단서,김민지,1,0,2019-03-28 06:59:10,"??? 나 배댓때매 멘붕와떠,, 절벽에서 떨어질때 구해준거 다같이 보지 않았나연...?",False
17642838,62571,승은이 망극하옵니다 11화. 단서,권지나,1,0,2019-03-27 23:55:37,정말 내용이 취향저격 입니당,False
20529613,62571,승은이 망극하옵니다 11화. 단서,Ammysuya,0,0,2021-02-27 20:02:41,ㄱㄷ,False
18895841,62571,승은이 망극하옵니다 11화. 단서,보은,0,0,2020-02-27 17:55:20,하 승은이 후궁으로서 뭐시기뭐시기 섹시하구요라 할때 jon라 귀엽당,False
17771540,62571,승은이 망극하옵니다 11화. 단서,이해슬,0,0,2019-05-03 15:14:11,1ㅎ화에서 보시면 남주는 교통사고로 심한외상과 죽을 고비속에서 았습니다.,False
17702127,62571,승은이 망극하옵니다 11화. 단서,-,0,0,2019-04-11 06:53:09,이 새끼 웃는데요?,False
17676401,62571,승은이 망극하옵니다 11화. 단서,수현,0,0,2019-04-05 18:05:11,헐 점점 기억이 없어져서 그냥 여기서 사는거같은데,False
17670901,62571,승은이 망극하옵니다 11화. 단서,Sso,0,0,2019-04-04 11:25:46,원래세계에서 죽은거 아냐?,False
17670563,62571,승은이 망극하옵니다 11화. 단서,디디디,0,0,2019-04-04 07:35:14,폐하ㅠㅠㅠ,False
17649697,62571,승은이 망극하옵니다 11화. 단서,김민영,0,0,2019-03-29 22:58:01,작가님 작품 너무 재밌습니다 이벤신청 여기서 할게요 사랑함다,False
17649692,62571,승은이 망극하옵니다 11화. 단서,김민영,0,0,2019-03-29 22:57:34,"최고의 웹툰, 추천합니다",False
17649687,62571,승은이 망극하옵니다 11화. 단서,김민영,0,0,2019-03-29 22:57:13,작품을 응원합니다!,False
17647464,62571,승은이 망극하옵니다 11화. 단서,넘사벽,0,0,2019-03-29 10:15:17,"최고의 웹툰, 추천합니다.",False
17646768,62571,승은이 망극하옵니다 11화. 단서,신미정,0,0,2019-03-29 01:31:21,아..이건 뭐 누나로맨스인가..,False
17646205,62571,승은이 망극하옵니다 11화. 단서,완전상큼,0,0,2019-03-28 23:42:03,기억이없어진듯,False
17645510,62571,승은이 망극하옵니다 11화. 단서,똥때지,0,0,2019-03-28 22:13:06,화이팅!!!,False
17644872,62571,승은이 망극하옵니다 11화. 단서,왕눈이,0,0,2019-03-28 17:03:56,아핰 고놈 참 귀엽구나,False
17644844,62571,승은이 망극하옵니다 11화. 단서,희수패덕,0,0,2019-03-28 16:51:44,정신만 과거로 온건가?,False
17644416,62571,승은이 망극하옵니다 11화. 단서,우왕,0,0,2019-03-28 12:07:53,기억을 못 하는건가?,False
17644235,62571,승은이 망극하옵니다 11화. 단서,들국화,0,0,2019-03-28 10:51:07,ㅉㅉ사고때문에 뇌사상태인가??,False
17644022,62571,승은이 망극하옵니다 11화. 단서,르몽드,0,0,2019-03-28 09:27:18,"최고의 웹툰, 추천합니다.",False
17643410,62571,승은이 망극하옵니다 11화. 단서,김철철,0,0,2019-03-28 01:35:32,작화 넘 이쁘다 ,False
17643209,62571,승은이 망극하옵니다 11화. 단서,이연희,0,0,2019-03-28 00:51:22,승은이 너무 귀여워요 ㅠㅡㅠ♡♡♡,False
17643078,62571,승은이 망극하옵니다 11화. 단서,yearim2da,0,0,2019-03-28 00:24:35,연하란 ..... ㅎㅎㅎㅎ,False
17642926,62571,승은이 망극하옵니다 11화. 단서,민주,0,0,2019-03-28 00:04:36,기억잃는거,False
17642890,62571,승은이 망극하옵니다 11화. 단서,린,0,0,2019-03-28 00:00:25,작품 멋져요~! ^^~,False
17642700,62571,승은이 망극하옵니다 11화. 단서,메로나,0,0,2019-03-27 23:39:40,후궁이 너무 기여워ㅠㅠ,False
17642579,62571,승은이 망극하옵니다 11화. 단서,서현,0,0,2019-03-27 23:28:39,ㅠㅠ,False
17642427,62571,승은이 망극하옵니다 11화. 단서,호만,0,0,2019-03-27 23:11:05,스토리가 넘 느림..,False
17669981,62933,승은이 망극하옵니다 12화. 조각 기억,졸려,886,47,2019-04-04 00:21:39,"역시 남자는 8살정도 어린 남자가~ 여자에게 딱 좋죠^^ 큼큼...!
바깥일 하고 오면 밥도 해놓고 조신허게 기다리고 있는 남자가~ 역시 여자에게 최고죠^^",True
17344609,62933,승은이 망극하옵니다 12화. 조각 기억,흙을 먹어라,748,4,2019-02-14 00:18:32,매운거 먹고 입주변 벌게진거 개웃기네ㅋㅋㅋ,True
17348511,62933,승은이 망극하옵니다 12화. 조각 기억,김종원,552,13,2019-02-15 09:15:15,"약간 저 세상이 그거같아요 지금 우리가 아는 과거랑 반대의 성별 
남자가 부엌일등 집안일 여자가 바깥일 이런식으로",True
